2021/10/26,12:17:10,stop,0000/00/00,00:00:00
2021/10/26,12:17:10,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:17:10,stop,0000/00/00,00:00:00
2021/10/26,12:17:21,move_forward,0000/00/00,00:00:00
2021/10/26,12:17:22,stop,0000/00/00,00:00:00
2021/10/26,12:17:22,move_back,0000/00/00,00:00:00
2021/10/26,12:17:22,stop,0000/00/00,00:00:00
2021/10/26,12:17:22,turn_right,0000/00/00,00:00:00
2021/10/26,12:17:22,stop,0000/00/00,00:00:00
2021/10/26,12:17:23,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:17:23,stop,0000/00/00,00:00:00
2021/10/26,12:18:22,move_forward,0000/00/00,00:00:00
2021/10/26,12:18:22,stop,0000/00/00,00:00:00
2021/10/26,12:18:22,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:22,stop,0000/00/00,00:00:00
2021/10/26,12:18:23,move_back,0000/00/00,00:00:00
2021/10/26,12:18:23,stop,0000/00/00,00:00:00
2021/10/26,12:18:23,move_back,0000/00/00,00:00:00
2021/10/26,12:18:23,stop,0000/00/00,00:00:00
2021/10/26,12:18:23,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:23,stop,0000/00/00,00:00:00
2021/10/26,12:18:24,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:24,stop,0000/00/00,00:00:00
2021/10/26,12:18:24,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:18:24,stop,0000/00/00,00:00:00
2021/10/26,12:18:24,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:18:24,stop,0000/00/00,00:00:00
2021/10/26,12:18:25,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:25,stop,0000/00/00,00:00:00
2021/10/26,12:18:25,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:25,stop,0000/00/00,00:00:00
2021/10/26,12:18:26,move_back,0000/00/00,00:00:00
2021/10/26,12:18:26,stop,0000/00/00,00:00:00
2021/10/26,12:18:26,move_back,0000/00/00,00:00:00
2021/10/26,12:18:26,stop,0000/00/00,00:00:00
2021/10/26,12:18:26,move_forward,0000/00/00,00:00:00
2021/10/26,12:18:26,stop,0000/00/00,00:00:00
2021/10/26,12:18:26,move_forward,0000/00/00,00:00:00
2021/10/26,12:18:27,stop,0000/00/00,00:00:00
2021/10/26,12:18:27,move_back,0000/00/00,00:00:00
2021/10/26,12:18:27,stop,0000/00/00,00:00:00
2021/10/26,12:18:27,move_back,0000/00/00,00:00:00
2021/10/26,12:18:27,stop,0000/00/00,00:00:00
2021/10/26,12:18:27,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:27,stop,0000/00/00,00:00:00
2021/10/26,12:18:27,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:28,stop,0000/00/00,00:00:00
2021/10/26,12:18:28,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:18:28,stop,0000/00/00,00:00:00
2021/10/26,12:18:28,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:18:29,stop,0000/00/00,00:00:00
2021/10/26,12:18:29,turn_right,0000/00/00,00:00:00
2021/10/26,12:18:29,stop,0000/00/00,00:00:00
2021/10/26,12:18:30,move_back,0000/00/00,00:00:00
2021/10/26,12:18:30,stop,0000/00/00,00:00:00
2021/10/26,12:18:30,move_back,0000/00/00,00:00:00
2021/10/26,12:18:30,stop,0000/00/00,00:00:00
2021/10/26,12:18:30,move_forward,0000/00/00,00:00:00
2021/10/26,12:18:30,stop,0000/00/00,00:00:00
2021/10/26,12:18:30,move_forward,0000/00/00,00:00:00
2021/10/26,12:18:31,stop,0000/00/00,00:00:00
